ParcelID,SaleDate,SalePrice,Story,TotalSF,BldgAV,TotalAV,UseCode,NH,NHQual,ExtWalls,Grade,PctGood,FinAttic,FinBsmt,AV_SF,SP_SF
14-25-101-009,7/12/2013,270000,2 Story,2546,62854,79891,R 0040,65,1.127195,Alum/Vinyl,14,99,0,0,94.14,106.05
14-25-101-013,5/25/2012,260000,2 & 1 Story,2720,66425,82940,R 0040,65,1.127195,Brick Front,14,98,0,1,91.48,95.59
14-25-101-014,7/30/2012,236000,2 Story,2464,61085,77600,R 0040,65,1.127195,Alum/Vinyl,12,98,0,0,94.48,95.78
14-25-102-001,10/9/2015,275000,2 Story,2751,67955,86192,R 0040,65,1.127195,Brick Front,14,98,0,1,93.99,99.96
14-25-102-006,11/20/2014,264000,2 & 1 Story,2468,60346,76666,R 0040,65,1.127195,Alum/Vinyl,13,98,0,1,93.19,106.97
14-25-102-009,7/31/2014,288500,2 Story,2868,78839,97464,R 0040,65,1.127195,Brick Front,14,98,0,1,101.95,100.59
14-25-102-011,4/18/2011,227500,2 Story,2357,65938,82440,R 0040,65,1.127195,Alum/Vinyl,14,98,0,1,104.93,96.52
14-25-102-013,6/18/2015,237500,2 Story,2454,59339,75841,R 0040,65,1.127195,Alum/Vinyl,13,98,0,0,92.72,96.78
14-25-103-001,5/31/2012,282000,2 & 1 Story,2797,67330,88165,R 0040,65,1.127195,Alum/Vinyl,14,98,0,1,94.56,100.82
14-25-103-005,9/28/2012,242450,2 Story,2428,60251,76580,R 0040,65,1.127195,Alum/Vinyl,12,98,0,0,94.62,99.86
14-25-103-011,3/2/2009,200000,2 Story,2310,50894,67214,R 0040,65,1.127195,Brick Front,14,98,0,1,87.29,86.58
14-25-103-021,11/24/2010,285000,2 & 1 Story,2606,66084,82477,R 0040,65,1.127195,Alum/Vinyl,14,98,0,1,94.95,109.36
14-25-103-022,10/28/2011,252000,2 Story,2796,73385,89580,R 0040,65,1.127195,Brick Front,14,98,0,1,96.12,90.13
14-25-103-025,2/21/2011,299500,1 Story,2753,80573,96902,R 0040,65,1.127195,Brick Front,14,98,0,0,105.6,108.79
14-25-103-026,12/16/2013,261000,2 Story,2552,72603,88932,R 0040,65,1.127195,Alum/Vinyl,13,98,0,1,104.54,102.27
14-25-103-029,4/1/2015,250000,2 & 1 Story,2428,60027,77211,R 0040,65,1.127195,Alum/Vinyl,13,98,0,1,95.4,102.97
14-25-103-030,7/2/2012,255000,2 & 1 Story,2281,66890,83918,R 0040,65,1.127195,Brick Front,14,98,0,1,110.37,111.79
14-25-103-035,12/10/2014,257000,2 & 1 Story,2769,79867,96229,R 0040,65,1.127195,Alum/Vinyl,14,98,0,1,104.26,92.81
14-25-103-036,5/24/2013,276000,2 & 1 Story,2487,63483,79845,R 0040,65,1.127195,Brick Front,14,99,0,0,96.31,110.98
14-25-103-037,3/9/2011,267500,2 Story,2424,70764,87126,R 0040,65,1.127195,Brick Front,14,98,0,1,107.83,110.35
14-25-104-003,8/30/2013,247000,2 Story,2716,65254,85547,R 0040,65,1.127195,Brick Front,14,98,0,1,94.49,90.94
14-25-104-004,3/13/2015,259000,2 Story,2206,65469,85762,R 0040,65,1.127195,Brick Front,14,98,0,1,116.63,117.41
14-25-104-005,9/26/2015,235000,2 & 1 Story,2556,72355,90069,R 0040,65,1.127195,Alum/Vinyl,14,98,0,0,105.71,91.94
14-25-104-008,10/29/2010,256500,2 & 1 Story,2534,64565,85954,R 0040,65,1.127195,Alum/Vinyl,14,98,0,1,101.76,101.22
14-25-104-012,9/24/2013,270000,2 & 1 Story,3050,77776,94096,R 0040,65,1.127195,Alum/Vinyl,14,98,0,1,92.55,88.52
14-25-104-020,11/12/2013,318000,1 Story,2439,77921,94324,R 0040,65,1.127195,Brick Front,14,98,0,1,116.02,130.38
14-25-104-026,3/12/2014,272500,2 Story,2606,74715,92913,R 0040,65,1.127195,Alum/Vinyl,13,98,0,1,106.96,104.57
14-25-104-028,4/20/2012,245900,2 Story,2432,67682,84082,R 0040,65,1.127195,Alum/Vinyl,13,98,0,1,103.72,101.11
14-25-104-030,12/29/2009,270000,2 Story,2630,65750,82146,R 0040,65,1.127195,Alum/Vinyl,13,98,0,1,93.7,102.66
14-25-104-034,6/8/2010,274900,2 & 1 Story,2189,63859,80255,R 0040,65,1.127195,Alum/Vinyl,14,98,0,1,109.99,125.58
14-25-126-005,7/2/2010,215000,2 & 1 Story,2454,59176,76770,R 0040,47,0.929364,Alum/Vinyl,13,98,0,1,93.85,87.61
14-25-126-009,10/9/2014,235000,2 Story,2512,52812,80272,R 0040,47,0.929364,Alum/Vinyl,13,98,0,1,95.87,93.55
14-25-126-015,10/25/2013,263000,2 & 1 Story,3236,59681,89430,R 0040,47,0.929364,Alum/Vinyl,13,98,0,1,82.91,81.27
14-25-126-020,7/31/2013,265000,2 & 1 Story,2716,68890,87813,R 0040,47,0.929364,Brick Front,14,98,0,1,97,97.57
14-25-126-031,2/25/2009,193000,2 & 1 Story,2569,54352,73238,R 0040,47,0.929364,Alum/Vinyl,13,98,0,1,85.53,75.13
14-25-127-001,7/24/2009,229000,2 Story,2214,53530,70601,R 0040,47,0.929364,Alum/Vinyl,8,98,0,1,95.67,103.43
14-25-127-002,9/3/2014,182500,2 & 1 Story,2226,48786,64475,R 0040,47,0.929364,Alum/Vinyl,12,98,0,1,86.89,81.99
14-25-127-005,8/2/2011,180000,2 & 1 Story,2353,57144,71882,R 0040,47,0.929364,Alum/Vinyl,12,98,0,0,91.65,76.5
14-25-127-010,8/2/2013,247000,2 & 1 Story,2419,58249,73721,R 0040,47,0.929364,Alum/Vinyl,13,98,0,1,91.43,102.11
14-25-127-013,5/18/2011,186500,2 Story,2304,52864,68060,R 0040,47,0.929364,Alum/Vinyl,13,98,0,0,88.62,80.95
14-25-127-015,5/19/2015,175500,2 & 1 Story,1890,39993,54261,R 0040,47,0.929364,Alum/Vinyl,12,98,0,1,86.13,92.86
14-25-127-019,4/8/2013,162500,2 & 1 Story,1915,43224,57564,R 0040,47,0.929364,Alum/Vinyl,12,98,0,1,90.18,84.86
14-25-127-021,9/19/2013,213500,2 Story,2318,55302,69915,R 0040,47,0.929364,Alum/Vinyl,13,98,0,1,90.49,92.11
14-25-128-007,8/27/2015,188500,2 & 1 Story,2146,47732,62707,R 0040,47,0.929364,Alum/Vinyl,12,98,0,1,87.66,87.84
14-25-128-008,8/5/2014,194650,2 Story,2322,50418,65393,R 0040,47,0.929364,Alum/Vinyl,12,98,0,1,84.49,83.83
14-25-152-003,5/28/2015,213500,2 Story,2619,60383,76893,R 0040,65,1.127195,Alum/Vinyl,13,98,0,1,88.08,81.52
14-25-152-011,11/2/2012,227500,2 Story,2646,64751,83211,R 0040,65,1.127195,Alum/Vinyl,13,98,0,0,94.34,85.98
14-25-152-013,3/11/2011,253000,2 & 1 Story,2746,70602,88121,R 0040,65,1.127195,Brick Front,13,98,0,1,96.27,92.13
14-25-153-006,6/28/2011,242000,2 Story,2300,64614,81180,R 0040,65,1.127195,Brick Front,13,98,0,1,105.89,105.22
14-25-153-007,1/18/2012,235900,2 & 1 Story,2494,61374,77827,R 0040,65,1.127195,Alum/Vinyl,12,98,0,0,93.62,94.59
14-25-153-008,11/26/2014,300000,1 Story,2476,88492,105668,R 0040,65,1.127195,Brick Front,12,98,0,1,128.03,121.16
14-25-153-011,7/22/2009,249500,2 Story,2524,59500,79793,R 0040,65,1.127195,Alum/Vinyl,12,98,0,1,94.84,98.85
14-25-176-019,9/20/2010,255000,2 & 1 Story,3513,70626,90617,R 0040,47,0.929364,Wood,13,98,0,1,77.38,72.59
14-25-176-021,12/23/2010,283000,2 & 1 Story,2682,59306,87523,R 0040,47,0.929364,Brick Front,14,98,0,0,97.9,105.52
14-25-176-027,7/15/2011,250000,1.5 Finished,2210,54449,72421,R 0040,47,0.929364,Brick Front,13,98,0,1,98.31,113.12
14-25-176-028,2/6/2013,248000,2 & 1 Story,2647,55900,73615,R 0040,47,0.929364,Wood,12,98,0,1,83.43,93.69
14-25-176-029,4/17/2013,234000,2 & 1 Story,2795,61411,78124,R 0040,47,0.929364,Wood,13,98,0,1,83.85,83.72
14-25-176-040,11/29/2010,210000,2 Story,2190,54884,72018,R 0040,47,0.929364,Alum/Vinyl,13,98,0,1,98.65,95.89
14-25-178-004,9/21/2015,195000,2 Story,2196,53265,70019,R 0040,47,0.929364,Brick Front,12,98,0,1,95.65,88.8
14-25-182-001,2/26/2010,217450,2 Story,2931,61728,79496,R 0040,47,0.929364,Wood,13,99,0,1,81.37,74.19
14-25-182-002,3/5/2012,249000,2 Story,2284,55166,72934,R 0040,47,0.929364,Wood,13,98,0,1,95.8,109.02
14-25-182-003,3/23/2012,185000,2 & 1 Story,2126,50283,68051,R 0040,47,0.929364,Wood,13,98,0,1,96.03,87.02
14-25-182-004,5/15/2015,194500,2 Story,2286,53350,71111,R 0040,47,0.929364,Wood,12,99,0,0,93.32,85.08
14-25-185-001,9/24/2010,230500,2 & 1 Story,2400,52707,70229,R 0040,47,0.929364,Brick Front,12,98,0,1,87.79,96.04
14-25-185-002,6/1/2012,248500,2 & 1.5 Story,2607,55622,71932,R 0040,47,0.929364,Alum/Vinyl,12,98,0,1,82.78,95.32
14-25-185-016,4/16/2013,205500,2 Story,2199,46956,64163,R 0040,47,0.929364,Wood,12,98,0,1,87.53,93.45
14-25-201-004,12/30/2013,202500,2 Story,2126,50308,65237,R 0040,47,0.929364,Alum/Vinyl,12,98,0,1,92.06,95.25
14-25-201-010,10/13/2009,237000,2 Story,2488,49858,71681,R 0040,47,0.929364,Wood,12,98,0,0,86.43,95.26
14-25-201-022,7/8/2013,180000,2 & 1 Story,1816,43277,57762,R 0040,47,0.929364,Alum/Vinyl,12,98,0,0,95.42,99.12
14-25-201-024,9/18/2015,180000,2 & 1 Story,2020,45100,60029,R 0040,47,0.929364,Wood,12,98,0,1,89.15,89.11
14-25-201-026,8/6/2010,160000,2 & 1 Story,1944,43474,58403,R 0040,47,0.929364,Alum/Vinyl,12,98,0,1,90.13,82.3
14-25-201-032,6/5/2014,192000,2 Story,2020,46144,61680,R 0040,47,0.929364,Wood,12,98,0,1,91.6,95.05
14-25-201-036,7/15/2011,183000,2 & 1 Story,2206,48786,63190,R 0040,47,0.929364,Alum/Vinyl,12,98,0,1,85.93,82.96
